白玉北豆腐,3.8,豆制品,盒,
香香北豆腐,3.0,豆制品,盒,
白玉南豆腐,5.5,豆制品,盒,
豆腐丝,4.5,豆制品,斤,
精品豆腐丝,5.75,豆制品,袋,
豆腐皮,4.5,豆制品,斤,
豆腐干,3.5,豆制品,斤,
精品豆腐干,4.75,豆制品,袋,
豆腐泡,4.6,豆制品,斤,
精品豆腐泡,4.1,豆制品,袋,
白玉内酯豆腐,2.0,豆制品,盒,
香香内脂豆腐,1.0,豆制品,盒,
白玉豆浆,2.35,豆制品,袋,
